آبگینه
آبنوس
آترین
آتنا
آتورپات
آتوسا
آذر
آذرافروز
آذرخش
آذرگون
آذرمه
آذرنوش
آذین
آراد
آراز
آرتا
آرتان
آرتمیس
آرتین
آرزو
آرش
آرشام
آرمان
آرمیتا
آرمین
آرمینا
آرمینه
آروین
آریا
آریابان
آریادخت
آریافر
آریامن
آریامنش
آریامهر
آریان
آریانا
آریانا
آریانوش
آرین
آرینا
آریو
آریوبرزن
آزاده
آزرمگان
آزرمیدخت
آساد
آسانا
آستیاژ
آستیاژ
آستیاگ
آگرین
آلاء
آلاله
آناهیتا
آندریا
آنوشا
آهو
آوید
آویده
آویژه
آویسا
آوین
آوینه
آیین‌گشسب
ابریشم
احسان
اختر
اخگر
ارتمیس
ارخشا
اردشیر
عادل
اردلان
اردوان
ارژنگ
ارسلان
ارشام
ارشک
ارشیا
ارغوان
ارمایل
اروشا
اروند
اژدر
استر
اسحاق
اسفندیار
اشکان
اشکبوس
افراسیاب
افروز
افروغ
افسانه
افشار
افشان
افشین
البرز
الهام
الهه
الوند
الیاس
امتیس
امش
امیتیس
امید
اناهید
انوش
انوشه
انوشیروان
اورمزد
اورنگ
اومتی
ایران بانو
ایراندخت
ایرج
ایرمن
بابک
باربد
بامداد
بامشاد
بامین
بردیا
برزن
برزو
برزین
برسام
برنا
برومند
بزرگمهر
بنفشه
بنیامین
به‌آیین
بهاران
بهارک
بهاره
بهبد
بهداد
بهدخت
بهدیس
بهراد
بهرام
بهرخ
بهرنگ
بهروز
بهزاد
بهشاد
بهشید
بهمن
بهمنش
بهناز
بهناز
بهنام
بهنام
بهنوش
بیتا
بیژن
پائیزه
پادینا
پارسا
پارمیدا
پارمیدا
پارمیس
پانیذ
پایا
پدرام
پدیده
پردیس
پرستو
پرشان
پرند
پرنیا
پرنیان
پرنیان
پرهام
پروانه
پرویز
پروین
پریا
پریچهر
پریدخت
پریرو
پریزاد
پریسا
پریسا
پریشاد
پریناز
پریوش
پژمان
پژهان
پشنگ
پشوتن
پگاه
پهلبد
پوپک
پوران
پوران
پوراندخت
پورداد
پوری
پوریا
پولاد
پونه
پونه
پویا
پویان
پیام
پیران
پیروز
پیروز
پیشداد
پیمان
تابان
تابنده
ترسا
ترمه
ترنگ
تهماسب
تهمتن
تهمورث
تهمینه
ته‌نیا
توران
توراندخت
تورج
تیرداد
تیروژ
تیریژ
تینا
جاماسب
جمشید
جهان‌بخش
جهاندار
جهانشاه
جهانگیر
چکامه
چنگیز
چه‌کو
چومان
چیا
چیاکو
خدابخش
خداداد
خدایار
خسرو
خشایار
خناو
خوبیار
خوناس
دادمهر
دادویه
دارا
داراب
داریوش
دامون
دومان
دانو
شاهو
دانوش
دُرّی
دلارا
دلارام
دلکش
دلوسه
دنا
دلسا
دوکا
دیاکو
دینا
رادمان
رادین
رازان
راشر
رامان
رامبد
رامتین
رامین
رامینا
رخشان
رستان
رستم
دُرنا
رکسانا
رزیتا
رهام
روجا
رودابه
روزبه
روژینا
روشنک
روناک
ریونیز
زال
مهناز
زامیاد
زانیار
‍‍‍‍‍زاوش
زایه‌له
زرمهر
زرین
زرین‌دخت
زند
زهرا
زهره
زوبین
زویا
ژوبین
زینا
زینب
زینت
زیور
ژاله
رایان
ژیلا
ژینا
ژینر
سارک
سارینا
ساسان
ساغر
ساقی
سالار
سامان
ساناز
سپنتا
سپهر
سپیده
سُرنا
ستاره
سرگل
سروش
رامیار
سروناز
ثریا
سلمان
سمانه
سمیرا
سهراب
رُمیسا
سهند
سهیلا
سودابه
طناز
سوده
سورن
سورنا
سوزان
سوسن
سوشیانت
سوشیانس
سوگل
سیامک
طاها
سیاوش
سیروس
سلماز
سیما
سیمین
سینا
شاپور
شادان
شادمهر
شانار
شاهرخ
شاهکام
شاهو
شاهین
شایا
شایان
شباهنگ
شبره
شبنم
شروین
شکیبا
شهاب
شهبد
شهراد
شهرام
شهربانو
تونیا
شهرخ
شهرداد
شهرزاد
شهرناز
شهروز
شهریار
شه‌مال
شه‌مزین
شهناز
شهنام
شهیار
شهین
شوپه
شوکا
شیدا
شیده
شیرزاد
شیرکو
شیرنگ
شیروان
شیریزدان
شیرین
شیرین‌بانو
شیما
شیوا
علی
علی رضا
فاختک
فرامرز
فرانک
فربد
فرخ
فرخزاد
فرداد
فردین
فرزاد
فرزام
فرزان
فرزین
فرسا
فرشاد
فرشید
تیرداد
فرشیده
فرناد
فرناز
فرنام
فرنوش
فرنیا
فرهاد
فرهام
فرهود
فرورتیش
فروزنده
فروغ
فروهر
فریا
فریبا
پرهام
فریبرز
فریما
فریماه
فرین
فریناز
فهام
فه‌رهاد
فوژان
فیروز
قاسم
کاردو
کارزان
کارن
کاروخ
کازیوه
کاژاو
کامبیز
کامران
کامشاد
کامیار
کاوه
کاووس
کتایون
کمند
کنارنگ
کورس
کورش
مانا
کوشا
کوماس
کیارش
شوآن
کیان
کیانوش
کیاوش
کیخسرو
کیقباد
کیکاووس
کیوان
کیوس
کیومرث
گردآفرید
گَرسیوَز
گرشاسب
گرگین
گستهم
گشتاسب
گلابتون
گلاره
گلاوژ
گلبهار
گلبیز
گلپونه
گلتاج
گلرخ
گلرو
گلشن
گلشید
گلشیفته
گلنار
مصطفا
گلنوش
گلی
گلینوش
گودرز
